,FID,u,v,key,osmid,name,highway,oneway,length,lanes,bridge,ref,junction,maxspeed,tunnel,access,id,source,target,FID_1,id_1,avg_0,avg_1,avg_2,avg_3,avg_4,avg_5,avg_6,avg_7,avg_8,avg_9,avg_10,avg_11,avg_12,avg_13,avg_14,avg_15,avg_16,avg_17,avg_18,avg_19,avg_20,avg_21,avg_22,avg_23,fill_ratio,highway_1,drop,FID_12,u_1,v_1,key_1,osmid_1,name_1,highway_12,oneway_1,length_1,lanes_1,bridge_1,ref_1,junction_1,maxspeed_1,tunnel_1,access_1,id_12,source_1,target_1,FID_12_13,id_12_13,avg_01,avg_12_13,avg_23_24,avg_34,avg_45,avg_56,avg_67,avg_78,avg_89,avg_9_10,avg_10_11,avg_11_12,avg_12__14,avg_13_14,avg_14_15,avg_15_16,avg_16_17,avg_17_18,avg_18_19,avg_19_20,avg_20_21,avg_21_22,avg_22_23,avg_23__25,fill_rat_1,highway_13,drop_1
0,0,63283237.0,640008088.0,0.0,47267013,石门二路,secondary,1,12.473,3, , , , , , ,94,63283237.0,640008088.0,94,94.0,1.69771388889,1.16698143939,1.2473,1.2473,0.0,1.2473,1.47408181818,1.76700833333,2.02359863124,2.62358883438,1.7197621212099998,1.34112931951,2.51059102564,3.62154364935,1.82590624288,2.01918178667,2.21232286182,1.8954486055000002,1.52331316527,2.18931678322,1.42053611111,1.36683291667,2.33580799713,1.520146875,0.958333333333,secondary,1,0,63283237.0,640008088.0,0.0,47267013,石门二路,secondary,1,12.473,3, , , , , , ,94.0,63283237.0,640008088.0,94,94.0,1.69771388889,1.16698143939,1.2473,1.2473,0.0,1.2473,1.47408181818,1.76700833333,2.02359863124,2.62358883438,1.7197621212099998,1.34112931951,2.51059102564,3.62154364935,1.82590624288,2.01918178667,2.21232286182,1.8954486055000002,1.52331316527,2.18931678322,1.42053611111,1.36683291667,2.33580799713,1.520146875,0.958333333333,secondary,1
1,1,63283237.0,109652252.0,0.0,50372122,新闸路,secondary,1,12.978,2, , , , , , ,95,63283237.0,109652252.0,95,95.0,1.26775833333,1.854,0.0,0.0,0.0,0.0,1.2978,1.2978,1.57309090909,1.6823333333300001,2.8143172832,1.43685,2.64195,2.99562625,3.4409725,1.83949536713,2.72633419913,1.86804545455,1.23192681818,1.31382222222,2.26131818182,1.40904,1.83332076923,1.5862,0.833333333333,secondary,1,1,63283237.0,109652252.0,0.0,50372122,新闸路,secondary,1,12.978,2, , , , , , ,95.0,63283237.0,109652252.0,95,95.0,1.26775833333,1.854,0.0,0.0,0.0,0.0,1.2978,1.2978,1.57309090909,1.6823333333300001,2.8143172832,1.43685,2.64195,2.99562625,3.4409725,1.83949536713,2.72633419913,1.86804545455,1.23192681818,1.31382222222,2.26131818182,1.40904,1.83332076923,1.5862,0.833333333333,secondary,1
2,2,63283241.0,94821548.0,0.0,449197596,新闸路,tertiary,0,12.588,2, , , , , , ,96,63283241.0,94821548.0,96,96.0,1.2588,1.2588,0.0,0.6294,1.2588,1.8882,0.898298591549,1.8882,2.04915767196,1.15793461538,1.27669470588,1.3808265306099998,1.62031487603,2.43397342657,1.38805178571,1.21406991342,1.809525,1.06177337107,1.2588,1.5456693877599998,1.6900555555599999,3.30435,1.00704,1.2588,0.958333333333,tertiary,1,2,63283241.0,94821548.0,0.0,449197596,新闸路,tertiary,0,12.588,2, , , , , , ,96.0,63283241.0,94821548.0,96,96.0,1.2588,1.2588,0.0,0.6294,1.2588,1.8882,0.898298591549,1.8882,2.04915767196,1.15793461538,1.27669470588,1.3808265306099998,1.62031487603,2.43397342657,1.38805178571,1.21406991342,1.809525,1.06177337107,1.2588,1.5456693877599998,1.6900555555599999,3.30435,1.00704,1.2588,0.958333333333,tertiary,1
3,3,63283241.0,64913524.99999999,0.0,449197596,新闸路,tertiary,0,224.453,2, , , , , , ,97,63283241.0,64913524.99999999,97,97.0,16.494525088099998,13.984489971199999,19.5060345238,17.95624,12.469611111099999,19.218514668599997,13.2391076014,10.6312572649,8.36940752337,9.40524162283,9.42290436852,11.422716103499999,8.958151860499997,8.43022795521,9.9099291537,9.2012891962,10.7101451069,9.78378294743,9.52433499134,11.5455633054,12.0744439553,11.1952329579,13.3717192767,17.005814518199998,1.0,tertiary,1,3,63283241.0,64913524.99999999,0.0,449197596,新闸路,tertiary,0,224.453,2, , , , , , ,97.0,63283241.0,64913524.99999999,97,97.0,16.494525088099998,13.984489971199999,19.5060345238,17.95624,12.469611111099999,19.218514668599997,13.2391076014,10.6312572649,8.36940752337,9.40524162283,9.42290436852,11.422716103499999,8.958151860499997,8.43022795521,9.9099291537,9.2012891962,10.7101451069,9.78378294743,9.52433499134,11.5455633054,12.0744439553,11.1952329579,13.3717192767,17.005814518199998,1.0,tertiary,1
4,4,63283245.99999999,63283249.0,0.0,449197596,新闸路,tertiary,0,167.713,2, , , , , , ,99,63283245.99999999,63283249.0,99,99.0,7.380413101679999,9.20141743078,10.545590151499999,12.1973090909,16.7713,7.800621344800001,8.67947652505,5.52527166556,3.47369255298,3.8102197567400005,5.36339329571,6.33449463219,7.39891462328,5.044915319279999,6.8006835794,5.79921446818,6.071979324500001,6.445786647359999,3.53638725328,5.21817093511,5.3206981206,6.41886594638,7.15806126763,8.38059362118,1.0,tertiary,1,4,63283245.99999999,63283249.0,0.0,449197596,新闸路,tertiary,0,167.713,2, , , , , , ,99.0,63283245.99999999,63283249.0,99,99.0,7.380413101679999,9.20141743078,10.545590151499999,12.1973090909,16.7713,7.800621344800001,8.67947652505,5.52527166556,3.47369255298,3.8102197567400005,5.36339329571,6.33449463219,7.39891462328,5.044915319279999,6.8006835794,5.79921446818,6.071979324500001,6.445786647359999,3.53638725328,5.21817093511,5.3206981206,6.41886594638,7.15806126763,8.38059362118,1.0,tertiary,1
5,5,63283245.99999999,495832244.99999994,0.0,484298632,江宁路,secondary,0,309.69,4, , , , , , ,100,63283245.99999999,495832244.99999994,100,100.0,10.8454504904,9.4831,8.72162552854,6.66061213235,15.4845,13.8254464286,10.7899546565,8.7962324147,5.84784190576,8.184401421059999,9.40401210161,9.010595314789999,9.80253477448,7.88911069974,9.28375202489,8.01720464741,9.27506978065,8.24782251423,8.4693961412,9.66732924738,9.3994322931,7.09521601119,9.05938308206,9.29440287621,1.0,secondary,1,5,63283245.99999999,495832244.99999994,0.0,484298632,江宁路,secondary,0,309.69,4, , , , , , ,100.0,63283245.99999999,495832244.99999994,100,100.0,10.8454504904,9.4831,8.72162552854,6.66061213235,15.4845,13.8254464286,10.7899546565,8.7962324147,5.84784190576,8.184401421059999,9.40401210161,9.010595314789999,9.80253477448,7.88911069974,9.28375202489,8.01720464741,9.27506978065,8.24782251423,8.4693961412,9.66732924738,9.3994322931,7.09521601119,9.05938308206,9.29440287621,1.0,secondary,1
6,6,63283245.99999999,554132622.9999999,0.0,449197596,新闸路,tertiary,0,202.501,2, , , , , , ,101,63283245.99999999,554132622.9999999,101,101.0,10.4110513764,7.56998005731,11.485481428599998,9.92695932078,10.12505,16.8750833333,12.4822044974,7.669883655,5.5757324656,5.14684029136,6.170572630160001,7.3404871385,7.77541008403,6.5173657841,6.5983278069799995,7.93102737395,6.64674604966,6.562753241339999,6.43482271309,6.808875819550001,7.51984254292,7.48980692525,8.41344971746,8.31752478019,1.0,tertiary,1,6,63283245.99999999,554132622.9999999,0.0,449197596,新闸路,tertiary,0,202.501,2, , , , , , ,101.0,63283245.99999999,554132622.9999999,101,101.0,10.4110513764,7.56998005731,11.485481428599998,9.92695932078,10.12505,16.8750833333,12.4822044974,7.669883655,5.5757324656,5.14684029136,6.170572630160001,7.3404871385,7.77541008403,6.5173657841,6.5983278069799995,7.93102737395,6.64674604966,6.562753241339999,6.43482271309,6.808875819550001,7.51984254292,7.48980692525,8.41344971746,8.31752478019,1.0,tertiary,1
7,7,63283245.99999999,554132715.0,0.0,484298632,江宁路,secondary,0,219.197,4, , , , , , ,102,63283245.99999999,554132715.0,102,102.0,11.4124476351,12.35810865,16.3665139706,18.2664166667,10.0829579179,12.0717188406,16.3929380342,7.90799084,9.619457237899999,7.44530591046,9.01363532322,9.027734323259999,9.60826859642,8.216543877920001,8.57581274114,9.20064941704,8.72044336174,6.6162903149600005,9.714833845060001,8.63023313363,9.500625708580001,9.84435476209,10.789097103800001,10.7947287551,1.0,secondary,1,7,63283245.99999999,554132715.0,0.0,484298632,江宁路,secondary,0,219.197,4, , , , , , ,102.0,63283245.99999999,554132715.0,102,102.0,11.4124476351,12.35810865,16.3665139706,18.2664166667,10.0829579179,12.0717188406,16.3929380342,7.90799084,9.619457237899999,7.44530591046,9.01363532322,9.027734323259999,9.60826859642,8.216543877920001,8.57581274114,9.20064941704,8.72044336174,6.6162903149600005,9.714833845060001,8.63023313363,9.500625708580001,9.84435476209,10.789097103800001,10.7947287551,1.0,secondary,1
8,8,63283249.0,469888185.0,0.0,147435423,陕西北路,tertiary,0,227.845,3, , , , , , ,103,63283249.0,469888185.0,103,103.0,7.23695251763,13.428545893699999,8.48435699785,17.3881710526,0.0,0.0,8.97571212121,7.88589906136,5.93346354167,3.67090085182,7.41721311277,5.51099343093,6.26567618867,9.9648411688,6.615313550290001,5.45232285798,3.65343185591,12.9745069444,7.178000440089999,8.46444515512,6.95581371955,5.5167938879900005,7.871238472769999,9.512957424989999,0.916666666667,tertiary,1,8,63283249.0,469888185.0,0.0,147435423,陕西北路,tertiary,0,227.845,3, , , , , , ,103.0,63283249.0,469888185.0,103,103.0,7.23695251763,13.428545893699999,8.48435699785,17.3881710526,0.0,0.0,8.97571212121,7.88589906136,5.93346354167,3.67090085182,7.41721311277,5.51099343093,6.26567618867,9.9648411688,6.615313550290001,5.45232285798,3.65343185591,12.9745069444,7.178000440089999,8.46444515512,6.95581371955,5.5167938879900005,7.871238472769999,9.512957424989999,0.916666666667,tertiary,1
9,9,63283249.0,63283245.99999999,0.0,449197596,新闸路,tertiary,0,167.713,2, , , , , , ,104,63283249.0,63283245.99999999,104,104.0,7.0901147367999995,5.81187144184,6.509124375,14.5890694444,16.7713,14.4693568627,5.53252399226,6.39479113636,5.28819556997,4.44475941228,3.8029951826499997,5.54936493303,7.742438303969999,4.88041556532,6.35116953182,5.75616510447,4.45277192314,6.23702376347,4.02670722254,4.44867902091,6.22516413911,5.6763621532,5.69330049112,8.66504578967,1.0,tertiary,1,9,63283249.0,63283245.99999999,0.0,449197596,新闸路,tertiary,0,167.713,2, , , , , , ,104.0,63283249.0,63283245.99999999,104,104.0,7.0901147367999995,5.81187144184,6.509124375,14.5890694444,16.7713,14.4693568627,5.53252399226,6.39479113636,5.28819556997,4.44475941228,3.8029951826499997,5.54936493303,7.742438303969999,4.88041556532,6.35116953182,5.75616510447,4.45277192314,6.23702376347,4.02670722254,4.44867902091,6.22516413911,5.6763621532,5.69330049112,8.66504578967,1.0,tertiary,1
